title,author,post,category;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"checking in ,UID3762,""Hi guys, going through a pretty dodgy patch mental health wise, so very irritable at people, at problems, today it was at myself, I think really alot of it is my mood but I take some of the responsibility. But yeah hoping the next few months pick up because things havn't felt too pretty. I'm gonna try and keep things basic, go to bed at set times, live a more ordered life, I think the problem with my body is stress and from what I know cortisol with people with mood disorders, you have to keep it in check. I've been between work which isn't great for mental health as many people know but I've been trying to get something through a job agency that is manageable, that has been a bit tricky judging my own capabilities , anyways there are a few good opportunities so hopefully I can sort that soon. Anyways all the best to everyone"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Hi Im New,UID372,""Hi, Im UID372oxy, 37yr single, lonely female from WA, diagnosed with depression 18 months ago. I have a great job, financially stable, but like others have gone through some trauma in my time from death, to relationships etc. I suppose an accumulation of things may have led to my depression. I don't like talking about it with people I know, 1. because I'm an introvert and keep things to myself, but 2. mainly because I don't feel like my friends would understand. Yes UID1518 would be supportive and helfpul, but UID1518 wouldn't understand. I feel like only people who are experiencing similar things to me, may be able to relate and understand, which i why I am giving this forum a go. I guess the main thing i wanted to get off my chest is how I'm feeling...I feel like every day is a struggle to get out of bed, and I can't wait to get in it. How incredibly hard it is to put one foot in front of every second, of every minute of every hour of every day, let alone find the strength to place the other foot in front of the first one. I operate on autopilot everyday, zombie like, getting from A to B is a blur, Im not present in the moment, the lights are on but nobodys home. Every breath feels so painful. And every breath I try to take in feels like it never even reaches my chest when I inhale. Im afraid of the next day being the same as every other day-pointless, lonely, a waste. I just feel so lost, empty-yet heavy. When i find something-anything that makes me happy, I grab it, cherish it, nourish it, real on it and depend on it. Which ends up being to my detriment because somehow whatever made me happy-which I needed to feel validated-worth something, always seems to slip away. And I end up in this deep dark hole...."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Lost confused nowhere to turn,UID73,""I am fast spiraling into a depressive episode. I have bipolar. I am normally very stable as long as I have limited stress in my life. At present I have nothing but stress. I have medical issues that generally cause me some stress but UID1518 have now been compounded with the potability of yet another surgery. I own my own home and I have my parents living with me to UID1059 me and it also UID1059s them. My father invited my eldest brother to come live with us a few months ago. Not wanting the stress of the argument I agreed. My brother has a history of violence towards us and is also mentally unstable. He has starter doing things that he knows that trigger me and has escalated to damaging my things tv's and such and blaming it on our elderly mother. Which is not possible because she does not come into the rooms of mine. He has done this same routine many times in the past and I know it gets worse from UID3760.. I have told him he has 5 days to find himself somewhere else to live. He laughed at me like it was a joke. He is now calling agencies and people to do everything he can to stop me from kicking him out. I am so scared he is going to flip out and not leave and make everything as hard as possible and I have no idea how to fix it and so know very well I am going to spiral into either a severe depression or even worse on of my very very troubling manic episodes. I don't know who to turn to, who to go to, who can UID1059 me and how I can save myself from spiraling out of control! I'm so scared of losing it after so many years of a clean run."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ongoing battle - checking in,UID1664,""Hi everyone, Over the past 4 months I've been going through a change in meds to try and kick depression being worse in the morning. It's been a tough road and it feels like it's not going to get any easier. Along with almost continuous depression rollercoaster emotions and mornings still being bad, my anxiety is smacking me about as well. My moods aren't very good and I've been close to the bottom of the dark hole where I fear I will end up in hospital. My memory is bad, which is humiliating at work and concentration is up and down. I haven't told my employer too much except that I'm having a tough time and my memory is affected. Other than that I really don't know what to tell them I've got a psychiatrist and psychologist that I am seeing. I'm feeling exhausted from the constant battle and roller coaster, living from moment to moment trying to keep my head above water. I guess I needed to check in UID3760 to be reminded that I'm not alone. UID1664"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Highly Sensitive People (HSP),UID786,""Are you sensitive? If so you might be in the range of a HSP. Studies show up to 15-30% of people could fall into this category. And I thought I was alone! Have you had the comments ”you should toughen up” ”don’t be so sensitive” Yet these people don’t realise that your sensitivity is part of you, your personality. It’s like you suggesting UID1518 grow shorter as “you are too tall” How absurd. Sensitive people have strong inner feelings, can be creative in things like writing, like to UID1059 other people or animals and generally care deeply in their convictions. So people that criticise us are in effect bullying us to be someone we are not. If possible stand up for yourself because sure as yabbies bite your toes, if you don’t then you’ll be walked over. We cant all be without sensitivity, we can’t all be low in emotion... not everyone is a highly sensitive person, if UID1518 were UID1518’d understand how our world is full of inner feelings and also wonderful in a strange way because we “feel” and that my friend is priceless... "",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Anger and Irritablity and Self Service Checkouts,UID3762,""Kinda funny kinda not but today got a display of my low frustration tolerance, ha I find those self service machines at the supermarket a pain, I seem to put my shopping in the wrong area and then someones gotta come over and fix it, but i was thinking these have annoyed me for a while but I gotta learn to slow down and learn the process its probably the supermarket UID1195 aswell not always great for people with anxiety at times. Anyone else share this grievance haha ? I''ll be practising my mindfullness with the machines or just using the old style checkout."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"My story (Any advice would be appreciated),UID372,""Hi all, I’m new UID3760, nice to UID3584t everyone. I figured I’d come UID3760 to lay out my thoughts and story as my anxiety and depression has been plaguing me for years and in the past two years, it has affected a lot quite directly. I don’t even know where to start because there’s a lot but I’ll do the best I can. Basically, one of the main factors of this is I’m 31 - for pretty much all of my twenties, I’ve avoided committing to long term relationships for having been hurt in the past and through fear of not being good enough for someone. For a number of factors. I’ve always generally had some kind of anxiety - I’m very much an introverted extrovert. I have a lot of friends but I’m still somewhat quiet and different from some of my peers and especially my immediate family. Although, I feel like I seem to have inherited anxiety from my parents - my Mum is not the most confident and my Dad is UID1183 and just not the same kind of person since having been diagnosed with multiple sclerosis 18 years ago. There’s things I hate about myself - I’m 31 and I don’t have a full driving license which some people think is weird/pathetic. A bit of a trivial thing but it matters to me. I’m actually so afraid of not doing something correctly on the road that I’ve had panic attacks on the road during tests and lessons and have spent so much money on this only to fail over and over again. I’m not from a lucrative background - for lack of a better term, my family are quite poor and for a while I was basically the breadwinner as I was the only one in the family with a job. Hence once of the reasons why I still can’t drive because I could never afford it until later in life (which doesn’t matter anyway as I keep failing)."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"checking in as in a tired space,UID3762,""Think my medication is only doing a quarter of what its supposed to now , will see psychiatrist tommorow, ah the brain is great when its well hah but when its not. Anyways taking it a day at a time but its a struggle right now, in case people wondering yes I know the emergency numbers if need be thanks to all."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Struggling with Depression and constant disappointment,UID372,""I have struggled with depression for the past 2 years now and am still bouncing between different medications as I feel it either isn’t UID1059ing or I get side effects which just makes everything feel worse. I am really struggling lately because I feel there aren’t many options left and my Psychiatrist just doesn’t seem interested, she is always busy and her office takes me an hour to get to. I want to see someone else closer to where I live and who I feel comfortable talking to but I just can’t take that step to tell her or UID3584t a new person and have to start all over again. It just seems like so much effort and I don’t want to hurt her feelings. I have no enjoyment in my life, as soon as I get home from work I just want to sleep. I tried joining a sports team to be active and UID3584t new people but it didn’t last very long, the tiredness eventually won and I started cancelling on training's and games. I just honestly don’t understand why I am UID1183, my life is good. My family don’t understand it either, UID1518 try to be useful but just end up saying the wrong thing and then I stew on that as it goes around and around in my head twisting into something that may have started out as “meaning well”. I am the person who jokes and makes a group laugh but it’s all just a mask, and it is so draining, I can’t keep it up as long as I used to anymore I think that’s why I don’t have friends to talk to about anything anymore, I try to catch up with them but I always get cancelled so my “friend” group has considerably lessened in the past year. Everyone seems to tell me all there problems even if I don’t know them very well, apparently I’m a caring considerate person and people feel comfortable telling me things. I listen and give advice where I can and UID1518 seem to walk away happier, Its strange because I find it so hard to talk to people about feelings and emotions, it’s just not something I was taught to do growing up and I just get so uncomfortable and awkward when asked about myself, I just don’t make sense when I try to explain something. It makes me feel stupid like a complete idiot. So to sum everything up I think I’m exhausted trying to keep the smiling face up in front of everyone while being constantly disappointed by everything happening in my life. I don't see myself ever being happy again."",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Am I depressed or just lazy?,UID372,""Hi there, I am 20 years old and have spent most of this year battling with myself about whether I am UID1183 or just lazy. I severely lack motivation and on most days I don’t do anything productive or I procrastinate things until it’s almost too late. Fortunately I was able to see a psychologist until August and my GP prescribed me antidepressant medication which I have been taking for about 5 weeks now. My GP expects it be having some kind of effect by now, however I’m only noticing side effects which include a very low libido and fatigue. I’m also feeling as though it’s levelling out my emotions to a point where I don’t really feel anything, or at best a little spike that disappears soon after. Lately I have felt incredibly tired and sometimes take a nap only a couple hours after I get up. I get about 7-9 hours of sleep a night and yet I don’t feel refreshed and often awaken feeling anxious. Very recently my bedroom was renovated and I’ve spent the last couple of weeks cleaning furniture and moving things back in. For a few days I felt great and was very motivated to do things, however now I’m really struggling to find that motivation again. This is where I can’t figure out if I’m just lazy and desperately trying to use depression as a justification or if I’m actually UID1183. I’m aware I’m on antidepressants for a reason yet I have never been told “you are diagnosed with depression”, which makes me question myself. I feel like I’m wasting my youth away but I can’t seem to pull myself out of this routine. To be perfectly honest, I am most comfortable when I am doing nothing, and that makes me feel free yet very guilty at the same time. Part of me doesn’t even want to change my lifestyle. I am so torn. I don’t have access to a psychologist until February so any kind of advice would be very much appreciated! Thank you for taking the time to read. :)"",depression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
